maliciousness	wrongdoing	malice	foul play	wrongfulness	offence	foulness	unfaithfulness	voluptuousness	evilness	iniquity	harmedness	insinuation	possessiveness	unintentional harm	prevarication	calamity	unintentionality	premeditation	attempt
tropical cyclone	storm	windstorm	natural phenomenon	turbulent wind condition	weather condition	atmospheric state	turbulent air current	the tropical cyclone	atmospheric phenomenon	tropical depression	tropical storm	violent storm	physical phenomenon	weather phenomenon	weather	wind	theoretically accurate description	theoretically defined term	theoretically correct
person	creditor	thespian	guarantor	warrantor	legal expert	jurist	stipulation	jurisconsult	credit cardholder	law-abiding person	warrant	witness	lawgiver	the law-abiding person	legal authority	legal name	helicopter operator	written document	helictator
physicist	scientist	data storage device	particle physicist	data storage and retrieval system	scientific method	chemist	person	theorist	computing device	computer file	explorer	engineer	natural science	research group	magnanimous applicability	work of mathematicians	magnanimous appointee	magnanimous appendix	magna carta
coding system	computer code	software	programming language	computer software	programing language	electrical conductivity	electrical conductor	software package	utility program	electronic component	application software	database management system (DBMS)	data processing unit	data processing system	technical specification	library software	encoder/transmitter	encoder/decoder	data processing engine
stack	stacking	stacks	built-in system	built-in device	pile	system of parts	cartography	written language	peril	data storage device	cartouche	written document	work of art	system of measurements	social control.	carton	stackable	assemblage	system of numbers
animal	ewe	animal species	domesticated sheep	female animal	dairy product	domesticated goat	foal	sheep	mammal	animal group	nonhuman primatology	carnivore	ram	nonhuman primatologist	non-human animals	non-human primates	nonhuman primates	nonhuman primatity	nonindigenous species
social science	philosophical science	theist	philosophy	empiricism	philosophical positivism	theory of mind	theism	observant behaviour	observant man	sociology	observant behavior	instancialism	political correctness	observant behaviourist	theory of action	observantness	mode of thinking	observable	socialism
fort	place of erection	military installation	military base	incendiary	constructed structure	city	public building	military post	edifice	structure	fortified structure	site	building	fortified city	built structure	defensive structure	Fort Klamath	Forty-eight-mile town	place of abode
plant	nut	plant part	carnivore	thermophyte	convex shape	seed	fruit	concoction of plant parts	nuts	agricola	pecan	agriculturist	tegument	reptilian	thermo-electrolyte	thermo-electrolytes	physicist	thermoprophytic organism	thermoprophytic plant
physical phenomenon	natural phenomenon	atmospheric condition	temperature	temporotemporal interval	bodily process	atmospheric state	climatology	meteorological phenomenon	atmospheric temperature	physical property	atmospheric phenomenon	physiological state	temporotemporal state	temporotemporal period	natural temperature	phenomenon	weather	temporal interval (interval of time) and measurement	temporal period between two points in time
computer software	autobiography	computer code	electronic equipment	electrical device	mechanical assembly	software	software package	adolescent male and male gender	technological innovation (telecommunications)	computer program	coding system	computer programmer	handbrake	computer programme	electronic software	circuitry	programming language	written work of art	written work
work of art	software program	e-mail address	domain name	application software	programming language	edtechnical research	software programing language	computer programme	computer software	software programing language (software): black and white	software programing language (software): black and white.	software programing language (software) and computer programming	email address	software programing language (software) and computer programme	software programing language (software) and computer programming coding	ePub	online community	software programing language (software): java script	software programing language (software development kit)
political organization	governmental organization	republic	political organisation	parliamentary democracy	state	political system	government	form of government	governmental entity	law of the land	constitutional monarchy	political economy	administration	rule of law	semantics	country	constitutional republic	federal republic	codified system of legal system
fictitious character	popular music genre	show	music group	rock group	tv program	musical group	channel	fictional character	television show	band	computer game	moving-picture show	picture	musical composition	imaginary creature	dance band	rock band	videogame genre	musical organization
locale	city	locality	hometown	local government	town	locus	local government area	local area	homonym	place of residence	geographical point	place of business	place of origin	area of expertise	local government district	inscribed place	local authority area	home town	area of geography
town	city	locale	local government	local government area	local government district	township	port of call	hamlet	provincial capital	city hall	county courthouse	geographical place	port city	geographical point	roman city	county court house	municipal corporation	historic place	municipal council
mountain	elevation	natural elevation	geographic point	mountain range	alpine range	mountains	alpine terrain	mountain chain	Himalayas	geological formation	higher mountain in the Himalayas	highest mountain in the world	Himalayan region	north american mountain range	highest peak in the world	highest peak in Himalayan country	Himalayan foothills	highest peak in Himalayan region	Himalayan foothill
in writing	written document	petition	request	application	oath	dissenting opinion	e-mail	communication medium	demand	asking	writing	expressing oneself	ask	doctrinal document	doctrinal phrase	doctrinal text	protest	doctrinal article	doctrinal act
data-storage medium	web site	software	computer programme	computing device	electronic computer program	computing machine	storage device	internet site	telecommunications system	data processing system	software package	software application	computer software	storage medium	system of information	storage medium and communication medium	system of data storage and retrieval	system of data storage and transmission channel	storage medium and transmission channel
shop	retail store	retail shop	store	shopping center	retail outlet	public building	commercial establishment	place of business	bookshop	bookstore	shopping mall	branch store	shopping centre	market place	business establishment	building	building maintenance company	trade mark	shops
